time,open,high,low,close,Volume
2019-01-02T18:00:00+03:30,2476.96,2494.31,2467.47,2485.76,NaN
2019-01-02T19:00:00+03:30,2485.85,2511.79,2481.99,2502.91,NaN
2019-01-02T20:00:00+03:30,2502.92,2508.09,2495.18,2497.58,NaN
2019-01-02T21:00:00+03:30,2497.55,2517.87,2496.93,2515.74,NaN
2019-01-02T22:00:00+03:30,2515.71,2519.49,2505.21,2509.94,NaN
2019-01-02T23:00:00+03:30,2509.98,2516.5,2496.63,2501.13,NaN
2019-01-03T00:00:00+03:30,2501.12,2512.11,2495.01,2510.03,NaN
2019-01-03T18:00:00+03:30,2491.92,2493.14,2454.68,2463.84,NaN
2019-01-03T19:00:00+03:30,2463.77,2472.22,2447.67,2464.02,NaN
2019-01-03T20:00:00+03:30,2464.07,2488.04,2461.64,2473.23,NaN
2019-01-03T21:00:00+03:30,2473.29,2479.19,2455.67,2463.91,NaN
2019-01-03T22:00:00+03:30,2463.95,2470.66,2456.61,2469.21,NaN
2019-01-03T23:00:00+03:30,2469.41,2472.83,2449.14,2452.85,NaN
2019-01-04T00:00:00+03:30,2453,2460.87,2443.96,2447.89,NaN
2019-01-04T18:00:00+03:30,2474.33,2516.28,2474.33,2516.28,NaN
2019-01-04T19:00:00+03:30,2516.31,2525.18,2508.46,2513.07,NaN
2019-01-04T20:00:00+03:30,2512.99,2527.8,2509.89,2525.64,NaN
2019-01-04T21:00:00+03:30,2525.7,2538.07,2523.39,2532.94,NaN
2019-01-04T22:00:00+03:30,2532.99,2536.55,2522.58,2530.91,NaN
2019-01-04T23:00:00+03:30,2530.9,2534.59,2522.13,2524.54,NaN
2019-01-05T00:00:00+03:30,2524.56,2533.42,2523.3,2531.94,NaN
2019-01-07T18:00:00+03:30,2535.61,2539.07,2524.56,2536.59,NaN
2019-01-07T19:00:00+03:30,2536.56,2550.32,2536.51,2547.01,NaN
2019-01-07T20:00:00+03:30,2547.39,2561.36,2545.63,2559.81,NaN
2019-01-07T21:00:00+03:30,2559.78,2566.16,2558.43,2563.99,NaN
2019-01-07T22:00:00+03:30,2564.02,2565.59,2552.53,2554.11,NaN
2019-01-07T23:00:00+03:30,2554.09,2558.53,2546.76,2556.72,NaN
2019-01-08T00:00:00+03:30,2556.7,2557.31,2548.35,2549.69,NaN
2019-01-08T18:00:00+03:30,2568.11,2579.82,2557.39,2561.17,NaN
2019-01-08T19:00:00+03:30,2561.18,2563.18,2547.56,2555.49,NaN
2019-01-08T20:00:00+03:30,2555.46,2567.73,2550.63,2565.55,NaN
2019-01-08T21:00:00+03:30,2565.54,2566.82,2554.71,2564.36,NaN
