time,open,high,low,close,Volume
2022-01-03T18:00:00+03:30,4778.14,4795.86,4758.17,4767.42,NaN
2022-01-03T18:30:00+03:30,4767.28,4785.28,4766.61,4785.14,NaN
2022-01-03T19:00:00+03:30,4785.52,4785.72,4774.87,4779.85,NaN
2022-01-03T19:30:00+03:30,4779.86,4780.71,4769.18,4773.5,NaN
2022-01-03T20:00:00+03:30,4773.63,4776.64,4763.24,4772.29,NaN
2022-01-03T20:30:00+03:30,4772.11,4779.05,4769.16,4778.07,NaN
2022-01-03T21:00:00+03:30,4778.05,4778.19,4774.09,4774.74,NaN
2022-01-03T21:30:00+03:30,4774.73,4780.21,4772.49,4779.39,NaN
2022-01-03T22:00:00+03:30,4779.42,4786.12,4777.61,4786.05,NaN
2022-01-03T22:30:00+03:30,4786.03,4788.86,4784.8,4787.74,NaN
2022-01-03T23:00:00+03:30,4787.73,4795.2,4786.31,4790.72,NaN
2022-01-03T23:30:00+03:30,4790.62,4793.59,4788.91,4792.42,NaN
2022-01-04T00:00:00+03:30,4792.44,4796.38,4785.17,4795.94,NaN
2022-01-04T00:30:00+03:30,4796.5,4796.64,4796.5,4796.56,NaN
2022-01-04T18:00:00+03:30,4804.51,4818.62,4804.51,4814.86,NaN
2022-01-04T18:30:00+03:30,4815.57,4815.57,4805.63,4813.23,NaN
2022-01-04T19:00:00+03:30,4813.25,4815.22,4793.03,4793.65,NaN
2022-01-04T19:30:00+03:30,4793.6,4794,4782.62,4787.41,NaN
2022-01-04T20:00:00+03:30,4787.61,4797.62,4786.84,4792.81,NaN
2022-01-04T20:30:00+03:30,4792.87,4797.44,4789.04,4793.53,NaN
2022-01-04T21:00:00+03:30,4793.5,4794.19,4785.03,4785.95,NaN
2022-01-04T21:30:00+03:30,4786.15,4790.99,4784.14,4786.13,NaN
2022-01-04T22:00:00+03:30,4786.09,4786.29,4774.27,4774.99,NaN
2022-01-04T22:30:00+03:30,4774.96,4784,4774.77,4783,NaN
2022-01-04T23:00:00+03:30,4783.05,4793.27,4782.96,4791.83,NaN
2022-01-04T23:30:00+03:30,4791.79,4800.84,4791.7,4800.42,NaN
2022-01-05T00:00:00+03:30,4800.41,4807.64,4793.06,4793.39,NaN
2022-01-05T00:30:00+03:30,4793.55,4793.57,4793.53,4793.54,NaN
2022-01-05T18:00:00+03:30,4787.99,4793.05,4778.42,4790.45,NaN
2022-01-05T18:30:00+03:30,4789.85,4797.7,4785.44,4795.22,NaN
2022-01-05T19:00:00+03:30,4795.2,4795.2,4787.16,4790.23,NaN
2022-01-05T19:30:00+03:30,4790.59,4791.44,4782.7,4789.76,NaN
2022-01-05T20:00:00+03:30,4789.92,4790.42,4780.69,4783.01,NaN
2022-01-05T20:30:00+03:30,4782.92,4789.9,4781.29,4789.04,NaN
2022-01-05T21:00:00+03:30,4788.99,4789.01,4776.52,4776.91,NaN
2022-01-05T21:30:00+03:30,4776.79,4777.64,4770.79,4775.88,NaN
2022-01-05T22:00:00+03:30,4776.01,4778.47,4773.86,4775.87,NaN
2022-01-05T22:30:00+03:30,4775.78,4786.09,4750.78,4752.22,NaN
2022-01-05T23:00:00+03:30,4752.18,4755.73,4729.64,4734.69,NaN
2022-01-05T23:30:00+03:30,4734.47,4734.47,4717.15,4720.95,NaN
2022-01-06T00:00:00+03:30,4720.51,4728.88,4699.44,4700.49,NaN
2022-01-06T00:30:00+03:30,4699.9,4700.81,4699.9,4700.58,NaN
2022-01-06T18:00:00+03:30,4693.39,4720.74,4684.73,4686.29,NaN
2022-01-06T18:30:00+03:30,4686.48,4702.69,4671.26,4694.9,NaN
2022-01-06T19:00:00+03:30,4694.72,4713.66,4694.72,4704.38,NaN
2022-01-06T19:30:00+03:30,4704.55,4716.34,4698.35,4704.16,NaN
2022-01-06T20:00:00+03:30,4703.88,4710.45,4698.13,4709.17,NaN
2022-01-06T20:30:00+03:30,4709.4,4714.23,4704.55,4713.63,NaN
2022-01-06T21:00:00+03:30,4713.38,4725.01,4710.56,4713.34,NaN
2022-01-06T21:30:00+03:30,4713.42,4716.53,4703.43,4703.82,NaN
2022-01-06T22:00:00+03:30,4703.84,4708.51,4701.77,4708.22,NaN
2022-01-06T22:30:00+03:30,4708.2,4712.62,4700.67,4704.48,NaN
2022-01-06T23:00:00+03:30,4704.74,4713.88,4703.41,4711.49,NaN
2022-01-06T23:30:00+03:30,4711.43,4718.65,4701.11,4707.06,NaN
2022-01-07T00:00:00+03:30,4706.94,4708.19,4688.41,4696.25,NaN
2022-01-07T00:30:00+03:30,4696.12,4696.12,4696.04,4696.05,NaN
2022-01-07T18:00:00+03:30,4697.66,4707.95,4684.2,4703.29,NaN
2022-01-07T18:30:00+03:30,4703.13,4703.95,4684.24,4686.67,NaN
2022-01-07T19:00:00+03:30,4686.48,4688.95,4662.74,4669.35,NaN
2022-01-07T19:30:00+03:30,4668.83,4681.03,4663,4680.94,NaN
2022-01-07T20:00:00+03:30,4680.75,4697.1,4677.39,4692.93,NaN
2022-01-07T20:30:00+03:30,4693.16,4694.05,4684.33,4686.96,NaN
2022-01-07T21:00:00+03:30,4686.99,4690.26,4681.28,4688.57,NaN
2022-01-07T21:30:00+03:30,4688.56,4692.28,4684.78,4686.28,NaN
2022-01-07T22:00:00+03:30,4686.32,4690.89,4682.26,4685.2,NaN
2022-01-07T22:30:00+03:30,4685.33,4687.04,4677.38,4681.81,NaN
2022-01-07T23:00:00+03:30,4681.72,4692.98,4680.14,4690.94,NaN
2022-01-07T23:30:00+03:30,4690.92,4695.72,4683,4685.36,NaN
2022-01-08T00:00:00+03:30,4685.61,4690.51,4675.99,4676.51,NaN
2022-01-08T00:30:00+03:30,4677.16,4677.16,4677.01,4677.03,NaN
2022-01-10T18:00:00+03:30,4655.34,4655.34,4605.97,4609.14,NaN
2022-01-10T18:30:00+03:30,4609.23,4610.61,4589.42,4596.88,NaN
2022-01-10T19:00:00+03:30,4596.91,4602.43,4582.24,4593.18,NaN
2022-01-10T19:30:00+03:30,4593.46,4617.75,4586.91,4617.09,NaN
2022-01-10T20:00:00+03:30,4617.03,4617.03,4600.6,4610.62,NaN
2022-01-10T20:30:00+03:30,4610.61,4610.61,4596.92,4599.39,NaN
2022-01-10T21:00:00+03:30,4599.29,4616.78,4595.67,4608.8,NaN
2022-01-10T21:30:00+03:30,4608.68,4624.14,4607.43,4621.7,NaN
2022-01-10T22:00:00+03:30,4621.74,4637.75,4618,4635.08,NaN
2022-01-10T22:30:00+03:30,4635.3,4649.37,4633.62,4647.7,NaN
2022-01-10T23:00:00+03:30,4647.69,4654.49,4637.94,4645.97,NaN
2022-01-10T23:30:00+03:30,4645.98,4650.67,4632.93,4643.51,NaN
2022-01-11T00:00:00+03:30,4643.5,4673.02,4639.07,4669.85,NaN
2022-01-11T00:30:00+03:30,4670.37,4670.43,4670.26,4670.29,NaN
2022-01-11T18:00:00+03:30,4669.14,4670.86,4638.27,4644.27,NaN
2022-01-11T18:30:00+03:30,4644.56,4662.06,4643.32,4656.33,NaN
2022-01-11T19:00:00+03:30,4656.9,4664.94,4640.46,4650.54,NaN
2022-01-11T19:30:00+03:30,4650.47,4683.11,4650.18,4681.81,NaN
2022-01-11T20:00:00+03:30,4681.83,4696.72,4679.12,4692.05,NaN
